hemma,borta,hemmamal,bortamal,publik,domare,datum,sasong
Örgryte,Hammarby,5,1,4 000,"Carl Olsson, Göteborg",1924-08-03,1924_1925
Norrköping,Landskrona,0,1,1 500,"Ivar Andersson, Norrköping",1924-08-03,1924_1925
IFK Malmö,Göteborg,1,1,3 276,"Johan Nilsson, Malmö",1924-08-03,1924_1925
Helsingborg,Gais,1,2,3 000,"Carl Christiansson, Helsingborg",1924-08-03,1924_1925
IFK Eskilstuna,Sleipner,1,3,700,"Oscar Ternström, Eskilstuna",1924-08-03,1924_1925
AIK,Västerås IK,5,1,2 000,"Arne Fredriksson, Stockholm",1924-08-03,1924_1925
Göteborg,Gais,1,3,3 600,"Sigfrid Benzer, Halmstad",1924-08-08,1924_1925
Västerås IK,IFK Eskilstuna,0,1,600,"Bertil Norén, Västerås",1924-08-10,1924_1925
Sleipner,Örgryte,0,1,2 280,"Ernfrid Byman, Norrköping",1924-08-10,1924_1925
Landskrona,Göteborg,0,4,1 000,"Gustaf Pettersson, Stockholm",1924-08-10,1924_1925
Helsingborg,IFK Malmö,4,2,2 400,"Carl Christiansson, Helsingborg",1924-08-10,1924_1925
Hammarby,AIK,1,7,2 000,"Axel Bergqvist, Stockholm",1924-08-10,1924_1925
Gais,Norrköping,3,2,3 000,"Erik W. Olsson, Falkenberg",1924-08-10,1924_1925
Norrköping,Sleipner,3,2,2 300,"Theodor Malm, Stockholm",1924-08-15,1924_1925
Gais,Örgryte,1,1,5 500,"Erik Ohlsson, Malmö",1924-08-15,1924_1925
IFK Malmö,Örgryte,0,1,2 378,"Johan Nilsson, Malmö",1924-08-17,1924_1925
Landskrona,Helsingborg,1,1,2 000,"Ivar Carlesson, Stockholm",1924-08-17,1924_1925
Göteborg,Västerås IK,8,1,650,"David Andersson, Göteborg",1924-08-17,1924_1925
IFK Eskilstuna,Hammarby,7,2,700,"Bertil Norén, Västerås",1924-08-17,1924_1925
AIK,Sleipner,3,2,3 800,"Oscar Gustafsson, Stockholm",1924-08-17,1924_1925
Göteborg,Örgryte,2,2,6 010,"Anton Lindbergh, Vaggeryd",1924-08-22,1924_1925
Sleipner,Gais,1,2,2 100,"Ernfrid Byman, Norrköping",1924-08-24,1924_1925
IFK Malmö,Västerås IK,3,3,1 764,"Gustaf Johansson, Malmö",1924-08-24,1924_1925
Helsingborg,IFK Eskilstuna,3,2,2 500,"Carl Christiansson, Helsingborg",1924-08-24,1924_1925
Hammarby,Landskrona,3,3,3 000,"Axel Bergqvist, Stockholm",1924-08-24,1924_1925
Göteborg,AIK,1,0,7 000,"David Andersson, Göteborg",1924-08-24,1924_1925
Örgryte,AIK,5,1,8 023,"Erik W. Olsson, Falkenberg",1924-08-31,1924_1925
Norrköping,IFK Eskilstuna,2,1,1 750,"Ernfrid Byman, Norrköping",1924-08-31,1924_1925
Hammarby,Sleipner,3,3,1 500,"Thure Håkansson, Stockholm",1924-08-31,1924_1925
Västerås IK,AIK,1,3,1 800,"Hjalmar Lundgren, Eskilstuna",1924-09-07,1924_1925
Sleipner,IFK Eskilstuna,2,1,1 400,"Arthur Björklund, Norrköping",1924-09-07,1924_1925
Landskrona,Örgryte,0,5,2 000,"Carl Christiansson, Helsingborg",1924-09-07,1924_1925
Hammarby,Norrköping,1,2,12 000,"Ivar Carlesson, Stockholm",1924-09-07,1924_1925
Gais,Helsingborg,3,2,6 000,"Erik W. Olsson, Falkenberg",1924-09-07,1924_1925
Örgryte,Landskrona,4,1,5 542,"Erik W. Olsson, Falkenberg",1924-09-14,1924_1925
Västerås IK,Göteborg,1,5,1 500,"Arne Fredriksson, Stockholm",1924-09-14,1924_1925
Norrköping,Hammarby,2,0,1 325,"Ivar Carlesson, Stockholm",1924-09-14,1924_1925
Helsingborg,Sleipner,1,0,2 800,"Carl Christiansson, Helsingborg",1924-09-14,1924_1925
IFK Eskilstuna,Gais,1,2,2 000,"Bertil Norén, Västerås",1924-09-14,1924_1925
AIK,IFK Malmö,6,3,5 000,"Axel Ahlberg, Stockholm",1924-09-14,1924_1925
Västerås IK,Gais,1,1,800,"Thure Håkansson, Stockholm",1924-09-21,1924_1925
Landskrona,IFK Malmö,2,4,1 900,"Carl Christiansson, Helsingborg",1924-09-21,1924_1925
Göteborg,Helsingborg,2,1,6 807,"David Andersson, Göteborg",1924-09-21,1924_1925
Örgryte,Norrköping,3,0,6 395,"Carl Olsson, Göteborg",1924-09-28,1924_1925
IFK Malmö,IFK Eskilstuna,8,3,1 411,"Johan Nilsson, Malmö",1924-09-28,1924_1925
Landskrona,AIK,3,0,2 315,"Astric Sandgren, Malmö",1924-09-28,1924_1925
Helsingborg,Västerås IK,5,0,1 900,"Carl Christiansson, Helsingborg",1924-09-28,1924_1925
