hemmamal,bortamal,datum,sasong,segrare,id,plats,lag,status,gjorda_mål,insläppta_mål
5,1,1924-08-03,1924_1925,hemma,1,hemma,Örgryte,seger,5,1
5,1,1924-08-03,1924_1925,hemma,1,borta,Hammarby,förlust,1,5
0,1,1924-08-03,1924_1925,borta,2,hemma,IFK Norrköping,förlust,0,1
0,1,1924-08-03,1924_1925,borta,2,borta,Landskrona,seger,1,0
1,1,1924-08-03,1924_1925,lika,3,hemma,IFK Malmö,lika,1,1
1,1,1924-08-03,1924_1925,lika,3,borta,IFK Göteborg,lika,1,1
1,2,1924-08-03,1924_1925,borta,4,hemma,Helsingborg,förlust,1,2
1,2,1924-08-03,1924_1925,borta,4,borta,Gais,seger,2,1
1,3,1924-08-03,1924_1925,borta,5,hemma,Eskilstuna,förlust,1,3
1,3,1924-08-03,1924_1925,borta,5,borta,Sleipner,seger,3,1
5,1,1924-08-03,1924_1925,hemma,6,hemma,AIK,seger,5,1
5,1,1924-08-03,1924_1925,hemma,6,borta,Västerås IK,förlust,1,5
1,3,1924-08-08,1924_1925,borta,7,hemma,IFK Göteborg,förlust,1,3
1,3,1924-08-08,1924_1925,borta,7,borta,Gais,seger,3,1
0,1,1924-08-10,1924_1925,borta,8,hemma,Västerås IK,förlust,0,1
0,1,1924-08-10,1924_1925,borta,8,borta,Eskilstuna,seger,1,0
0,1,1924-08-10,1924_1925,borta,9,hemma,Sleipner,förlust,0,1
0,1,1924-08-10,1924_1925,borta,9,borta,Örgryte,seger,1,0
0,4,1924-08-10,1924_1925,borta,10,hemma,Landskrona,förlust,0,4
0,4,1924-08-10,1924_1925,borta,10,borta,IFK Göteborg,seger,4,0
4,2,1924-08-10,1924_1925,hemma,11,hemma,Helsingborg,seger,4,2
4,2,1924-08-10,1924_1925,hemma,11,borta,IFK Malmö,förlust,2,4
1,7,1924-08-10,1924_1925,borta,12,hemma,Hammarby,förlust,1,7
1,7,1924-08-10,1924_1925,borta,12,borta,AIK,seger,7,1
3,2,1924-08-10,1924_1925,hemma,13,hemma,Gais,seger,3,2
3,2,1924-08-10,1924_1925,hemma,13,borta,IFK Norrköping,förlust,2,3
3,2,1924-08-15,1924_1925,hemma,14,hemma,IFK Norrköping,seger,3,2
3,2,1924-08-15,1924_1925,hemma,14,borta,Sleipner,förlust,2,3
1,1,1924-08-15,1924_1925,lika,15,hemma,Gais,lika,1,1
1,1,1924-08-15,1924_1925,lika,15,borta,Örgryte,lika,1,1
0,1,1924-08-17,1924_1925,borta,16,hemma,IFK Malmö,förlust,0,1
0,1,1924-08-17,1924_1925,borta,16,borta,Örgryte,seger,1,0
1,1,1924-08-17,1924_1925,lika,17,hemma,Landskrona,lika,1,1
