"","Ranking","Player","Rating","Year","Month"
"1",1,"Viswanathan Anand",2795,2004,12
"2",2,"Garry Kasparov",2790,2004,12
"3",3,"Vladimir Kramnik",2753,2004,12
"4",4,"Michael Adams",2749,2004,12
"5",5,"Peter Leko",2748,2004,12
"6",6,"Peter Svidler",2746,2004,12
"7",7,"Veselin Topalov",2745,2004,12
"8",8,"Alexander Morozevich",2745,2004,12
"9",9,"Alexander Grischuk",2741,2004,12
"10",10,"Judit Polgar",2741,2004,12
"11",1,"Viswanathan Anand",2794,2004,11
"12",2,"Garry Kasparov",2771,2004,11
"13",3,"Vladimir Kramnik",2752,2004,11
"14",4,"Peter Svidler",2751,2004,11
"15",5,"Alexander Morozevich",2750,2004,11
"16",6,"Michael Adams",2748,2004,11
"17",7,"Peter Leko",2746,2004,11
"18",8,"Judit Polgar",2741,2004,11
"19",9,"Veselin Topalov",2741,2004,11
"20",10,"Alexei Shirov",2740,2004,11
"21",1,"Garry Kasparov",2788,2004,10
"22",2,"Viswanathan Anand",2785,2004,10
"23",3,"Vladimir Kramnik",2758,2004,10
"24",4,"Veselin Topalov",2752,2004,10
"25",5,"Alexander Morozevich",2751,2004,10
"26",6,"Alexei Shirov",2746,2004,10
"27",7,"Peter Svidler",2744,2004,10
"28",8,"Michael Adams",2743,2004,10
"29",9,"Judit Polgar",2742,2004,10
"30",10,"Peter Leko",2742,2004,10
"31",1,"Garry Kasparov",2789,2004,9
"32",2,"Viswanathan Anand",2785,2004,9
"33",3,"Vladimir Kramnik",2754,2004,9
"34",4,"Veselin Topalov",2752,2004,9
"35",5,"Alexander Morozevich",2751,2004,9
"36",6,"Alexei Shirov",2744,2004,9
"37",7,"Peter Leko",2744,2004,9
"38",8,"Michael Adams",2743,2004,9
"39",9,"Judit Polgar",2742,2004,9
"40",10,"Peter Svidler",2741,2004,9
"41",1,"Garry Kasparov",2789,2004,8
"42",2,"Viswanathan Anand",2787,2004,8
"43",3,"Vladimir Kramnik",2751,2004,8
"44",4,"Veselin Topalov",2751,2004,8
"45",5,"Alexander Morozevich",2749,2004,8
"46",6,"Alexei Shirov",2748,2004,8
"47",7,"Peter Svidler",2742,2004,8
"48",8,"Peter Leko",2742,2004,8
"49",9,"Judit Polgar",2742,2004,8
"50",10,"Michael Adams",2742,2004,8
"51",1,"Garry Kasparov",2793,2004,7
"52",2,"Viswanathan Anand",2789,2004,7
"53",3,"Vladimir Kramnik",2759,2004,7
"54",4,"Veselin Topalov",2756,2004,7
"55",5,"Alexei Shirov",2749,2004,7
"56",6,"Peter Leko",2745,2004,7
"57",7,"Ruslan Ponomariov",2744,2004,7
"58",8,"Judit Polgar",2742,2004,7
"59",9,"Peter Svidler",2742,2004,7
"60",10,"Michael Adams",2740,2004,7
"61",1,"Garry Kasparov",2794,2004,6
"62",2,"Viswanathan Anand",2789,2004,6
"63",3,"Vladimir Kramnik",2759,2004,6
"64",4,"Peter Svidler",2745,2004,6
"65",5,"Ruslan Ponomariov",2745,2004,6
"66",6,"Alexei Shirov",2744,2004,6
"67",7,"Judit Polgar",2744,2004,6
"68",8,"Alexander Grischuk",2739,2004,6
"69",9,"Peter Leko",2737,2004,6
"70",10,"Michael Adams",2737,2004,6
"71",1,"Garry Kasparov",2794,2004,5
"72",2,"Viswanathan Anand",2787,2004,5
"73",3,"Vladimir Kramnik",2755,2004,5
"74",4,"Ruslan Ponomariov",2744,2004,5
"75",5,"Judit Polgar",2743,2004,5
"76",6,"Peter Svidler",2743,2004,5
"77",7,"Alexander Grischuk",2742,2004,5
"78",8,"Michael Adams",2737,2004,5
"79",9,"Peter Leko",2736,2004,5
"80",10,"Alexei Shirov",2735,2004,5
"81",1,"Garry Kasparov",2798,2004,4
"82",2,"Viswanathan Anand",2788,2004,4
"83",3,"Vladimir Kramnik",2758,2004,4
"84",4,"Alexander Grischuk",2750,2004,4
"85",5,"Peter Svidler",2746,2004,4
"86",6,"Ruslan Ponomariov",2745,2004,4
"87",7,"Judit Polgar",2745,2004,4
"88",8,"Alexei Shirov",2738,2004,4
"89",9,"Peter Leko",2738,2004,4
"90",10,"Michael Adams",2736,2004,4
"91",1,"Garry Kasparov",2803,2004,3
"92",2,"Viswanathan Anand",2788,2004,3
"93",3,"Vladimir Kramnik",2753,2004,3
"94",4,"Peter Svidler",2748,2004,3
"95",5,"Alexander Grischuk",2747,2004,3
"96",6,"Ruslan Ponomariov",2747,2004,3
"97",7,"Judit Polgar",2744,2004,3
"98",8,"Peter Leko",2742,2004,3
"99",9,"Alexei Shirov",2741,2004,3
"100",10,"Michael Adams",2737,2004,3
"101",1,"Garry Kasparov",2811,2004,2
"102",2,"Viswanathan Anand",2789,2004,2
"103",3,"Vladimir Kramnik",2755,2004,2
"104",4,"Ruslan Ponomariov",2749,2004,2
"105",5,"Judit Polgar",2745,2004,2
"106",6,"Peter Svidler",2745,2004,2
"107",7,"Alexei Shirov",2743,2004,2
"108",8,"Alexander Grischuk",2741,2004,2
"109",9,"Michael Adams",2738,2004,2
"110",10,"Peter Leko",2735,2004,2
"111",1,"Garry Kasparov",2814,2004,1
"112",2,"Viswanathan Anand",2776,2004,1
"113",3,"Vladimir Kramnik",2765,2004,1
"114",4,"Peter Svidler",2754,2004,1
"115",5,"Ruslan Ponomariov",2750,2004,1
"116",6,"Alexander Grischuk",2748,2004,1
"117",7,"Judit Polgar",2746,2004,1
"118",8,"Alexei Shirov",2743,2004,1
"119",9,"Vassily Ivanchuk",2731,2004,1
"120",10,"Michael Adams",2730,2004,1
"121",1,"Garry Kasparov",2817,2003,12
"122",2,"Viswanathan Anand",2777,2003,12
"123",3,"Vladimir Kramnik",2768,2003,12
"124",4,"Peter Svidler",2752,2003,12
"125",5,"Ruslan Ponomariov",2749,2003,12
"126",6,"Alexander Grischuk",2743,2003,12
"127",7,"Judit Polgar",2743,2003,12
"128",8,"Alexei Shirov",2742,2003,12
"129",9,"Michael Adams",2734,2003,12
"130",10,"Vassily Ivanchuk",2732,2003,12
"131",1,"Garry Kasparov",2820,2003,11
"132",2,"Viswanathan Anand",2777,2003,11
"133",3,"Vladimir Kramnik",2771,2003,11
"134",4,"Peter Svidler",2753,2003,11
"135",5,"Ruslan Ponomariov",2749,2003,11
"136",6,"Alexander Grischuk",2743,2003,11
"137",7,"Alexei Shirov",2743,2003,11
"138",8,"Judit Polgar",2742,2003,11
"139",9,"Michael Adams",2736,2003,11
"140",10,"Vassily Ivanchuk",2733,2003,11
"141",1,"Garry Kasparov",2823,2003,10
"142",2,"Viswanathan Anand",2779,2003,10
"143",3,"Vladimir Kramnik",2773,2003,10
"144",4,"Ruslan Ponomariov",2748,2003,10
"145",5,"Peter Svidler",2747,2003,10
"146",6,"Alexander Grischuk",2747,2003,10
"147",7,"Evgeny Bareev",2742,2003,10
"148",8,"Michael Adams",2739,2003,10
"149",9,"Judit Polgar",2738,2003,10
"150",10,"Alexei Shirov",2736,2003,10
"151",1,"Garry Kasparov",2818,2003,9
"152",2,"Viswanathan Anand",2776,2003,9
"153",3,"Vladimir Kramnik",2774,2003,9
"154",4,"Ruslan Ponomariov",2749,2003,9
"155",5,"Alexander Grischuk",2748,2003,9
"156",6,"Evgeny Bareev",2747,2003,9
"157",7,"Michael Adams",2742,2003,9
"158",8,"Alexei Shirov",2741,2003,9
"159",9,"Peter Svidler",2739,2003,9
"160",10,"Judit Polgar",2737,2003,9
"161",1,"Garry Kasparov",2823,2003,8
"162",2,"Vladimir Kramnik",2789,2003,8
"163",3,"Viswanathan Anand",2782,2003,8
"164",4,"Ruslan Ponomariov",2749,2003,8
"165",5,"Peter Leko",2748,2003,8
"166",6,"Alexander Grischuk",2745,2003,8
"167",7,"Evgeny Bareev",2744,2003,8
"168",8,"Alexei Shirov",2742,2003,8
"169",9,"Michael Adams",2742,2003,8
"170",10,"Veselin Topalov",2738,2003,8
"171",1,"Garry Kasparov",2824,2003,7
"172",2,"Viswanathan Anand",2788,2003,7
"173",3,"Vladimir Kramnik",2786,2003,7
"174",4,"Ruslan Ponomariov",2750,2003,7
"175",5,"Peter Leko",2748,2003,7
"176",6,"Evgeny Bareev",2745,2003,7
"177",7,"Alexander Grischuk",2744,2003,7
"178",8,"Alexei Shirov",2743,2003,7
"179",9,"Michael Adams",2741,2003,7
"180",10,"Veselin Topalov",2739,2003,7
