"","Ranking","Player","Rating","Year","Month"
"1",1,"Carlsen, Magnus",2876,2019,10
"2",2,"Caruana, Fabiano",2812,2019,10
"3",3,"Ding, Liren",2811,2019,10
"4",4,"Giri, Anish",2780,2019,10
"5",5,"Nepomniachtchi, Ian",2776,2019,10
"6",6,"Vachier-Lagrave, Maxime",2774,2019,10
"7",7,"Mamedyarov, Shakhriyar",2767,2019,10
"8",8,"So, Wesley",2767,2019,10
"9",9,"Anand, Viswanathan",2765,2019,10
"10",10,"Dominguez Perez, Leinier",2763,2019,10
"11",11,"Yu, Yangyi",2763,2019,10
"12",12,"Karjakin, Sergey",2760,2019,10
"13",13,"Grischuk, Alexander",2759,2019,10
"14",14,"Aronian, Levon",2758,2019,10
"15",15,"Radjabov, Teimour",2758,2019,10
"16",16,"Kramnik, Vladimir",2753,2019,10
"17",17,"Rapport, Richard",2752,2019,10
"18",18,"Harikrishna, Pentala",2748,2019,10
"19",19,"Wojtaszek, Radoslaw",2748,2019,10
"20",20,"Artemiev, Vladislav",2746,2019,10
"21",21,"Nakamura, Hikaru",2745,2019,10
"22",22,"Andreikin, Dmitry",2741,2019,10
"23",23,"Topalov, Veselin",2736,2019,10
"24",24,"Duda, Jan-Krzysztof",2734,2019,10
"25",25,"Vitiugov, Nikita",2732,2019,10
"26",26,"Svidler, Peter",2729,2019,10
"27",27,"Wang, Hao",2726,2019,10
"28",28,"Bu, Xiangzhi",2721,2019,10
"29",29,"Wei, Yi",2721,2019,10
"30",30,"Tomashevsky, Evgeny",2718,2019,10
"31",31,"Vidit, Santosh Gujrathi",2718,2019,10
"32",32,"Navara, David",2717,2019,10
"33",33,"Matlakov, Maxim",2716,2019,10
"34",34,"Xiong, Jeffery",2708,2019,10
"35",35,"Le, Quang Liem",2708,2019,10
"36",36,"Shankland, Sam",2705,2019,10
"37",37,"Firouzja, Alireza",2702,2019,10
"38",38,"Amin, Bassem",2699,2019,10
"39",39,"Dubov, Daniil",2699,2019,10
"40",40,"Vallejo Pons, Francisco",2694,2019,10
"41",41,"Adams, Michael",2694,2019,10
"42",42,"Howell, David W L",2694,2019,10
"43",43,"Inarkiev, Ernesto",2693,2019,10
"44",44,"Sadler, Matthew D",2692,2019,10
"45",45,"Grandelius, Nils",2691,2019,10
"46",46,"Sargissian, Gabriel",2690,2019,10
"47",47,"Jones, Gawain C B",2688,2019,10
"48",48,"Almasi, Zoltan",2687,2019,10
"49",49,"Li, Chao b",2687,2019,10
"50",50,"Gelfand, Boris",2686,2019,10
"51",51,"Ivanchuk, Vassily",2686,2019,10
"52",52,"Kamsky, Gata",2685,2019,10
"53",53,"Rausis, Igors",2685,2019,10
