Year;Host country;Host city;World champion;Runner(s)-up;Won (+);Lost (−);Draw (=);Format;;
Unofficial World Chess Championships (1834–1886);Unofficial World Chess Championships (1834–1886);Unofficial World Chess Championships (1834–1886);Unofficial World Chess Championships (1834–1886);Unofficial World Chess Championships (1834–1886);Unofficial World Chess Championships (1834–1886);Unofficial World Chess Championships (1834–1886);Unofficial World Chess Championships (1834–1886);Unofficial World Chess Championships (1834–1886);;
1834;United Kingdom;London;Louis de La Bourdonnais;Alexander McDonnell;45;28;13;;;
1843;United Kingdom;London;Pierre Saint-Amant;Howard Staunton;3;2;1;;;
1843;France;Paris;Howard Staunton;Pierre Saint-Amant;11;6;4;;;
1846;United Kingdom;London;Howard Staunton (2);Bernhard Horwitz;14;7;3;;;
1851;United Kingdom;London;Adolf Anderssen;Marmaduke Wyvill;4;2;1;single-elimination tournament, best-of-7 final;;
1858;France;Paris;Paul Morphy;Adolf Anderssen;7;2;2;;;
1862;United Kingdom;London;Adolf Anderssen;Louis Paulsen;11;1;1;round robin tournament, 14 players;;
1866;United Kingdom;London;Wilhelm Steinitz;Adolf Anderssen;8;6;0;;;
1883;United Kingdom;London;Johannes Zukertort;Wilhelm Steinitz;22;4;0;double round robin tournament, 14 players;;
Official World Chess Championships (1886–1946);Official World Chess Championships (1886–1946);Official World Chess Championships (1886–1946);Official World Chess Championships (1886–1946);Official World Chess Championships (1886–1946);Official World Chess Championships (1886–1946);Official World Chess Championships (1886–1946);Official World Chess Championships (1886–1946);Official World Chess Championships (1886–1946);;
1886;United States;New York City  Saint Louis  New Orleans;Wilhelm Steinitz (2);Johannes Zukertort;10;5;5;first-to-10 wins;;
1889;Cuba;Havana;Wilhelm Steinitz (3);Mikhail Chigorin;10;6;1;best-of-20 + tiebreak;;
1891;United States;New York City;Wilhelm Steinitz (4);Isidor Gunsberg;6;4;9;best-of-20 + tiebreak;;
1892;Cuba;Havana;Wilhelm Steinitz (5);Mikhail Chigorin;8+2;8;4+1;best-of-20 + tiebreak;;
1894;United States and   Canada;New York City  Philadelphia  Montreal;Emanuel Lasker;Wilhelm Steinitz;10;5;4;first-to-10 wins;;
1897;Russian Empire;Moscow;Emanuel Lasker (2);Wilhelm Steinitz;10;2;5;first-to-10 wins;;
1907;United States;New York City  Philadelphia  Washington, D.C.  Baltimore  Chicago  Memphis;Emanuel Lasker (3);Frank Marshall;8;0;7;first-to-8 wins;;
1908;German Empire;Düsseldorf  Munich;Emanuel Lasker (4);Siegbert Tarrasch;8;3;5;first-to-8 wins;;
1910;Austria-Hungary and   German Empire;Vienna  Berlin;Emanuel Lasker (5);Carl Schlechter;1;1;8;best of 10; disputed whether challenger had to win by 1 or 2 points;[1][2]
1910;German Empire;Berlin;Emanuel Lasker (6);Dawid Janowski;8;0;3;first-to-8 wins;;
1921;Cuba;Havana;José Raúl Capablanca;Emanuel Lasker;4;0;10;best-of-24;[1] Emanuel Lasker resigned after 14 games;
1927;Argentina;Buenos Aires;Alexander Alekhine;José Raúl Capablanca;6;3;25;first-to-6 wins;;
1929;Germany and   Netherlands;Wiesbaden  Heidelberg  Berlin  The Hague;Alexander Alekhine (2);Efim Bogoljubov;11;5;9;first-to-6 wins AND 15 points;;
1934;Nazi Germany;10 cities  Baden-Baden  Villingen-Schwenningen  Freiburg im Breisgau  Pforzheim  Stuttgart  Munich  Bayreuth  Bad Kissingen  Mannheim  Berlin;Alexander Alekhine (3);Efim Bogoljubov;8;3;15;first-to-6 wins AND 15 points;;
